"Marca temporal","¿Usas herramientas de inteligencia artificial (como ChatGPT, Gemini, DeepSeek, etc.)?","Sexo","Municipio ","1 Creo que es importante aprender sobre inteligencia artificial (IA)","
2 Las clases de inteligencia artificial (IA) son importantes","3 Creo que en la escuela se debería impartir clases de inteligencia artificial (IA)","4 Creo que todos los estudiantes deberían aprender sobre inteligencia artificial (IA) en la escuela","5 La inteligencia artificial (IA) es muy importante para el desarrollo de la sociedad","6 La inteligencia artificial (IA) está relacionada con mi vida","7 Utilizaré la inteligencia artificial (IA) para resolver problemas de la vida cotidiana","8 La inteligencia artificial (IA) me ayuda a resolver problemas en la vida real","9 En el futuro necesitare inteligencia artificial (IA) en mi vida","10 La inteligencia artificial (IA) es necesaria para todos","11 Quiero trabajar en el campo de la inteligencia artificial (IA)","12 Elegiré un trabajo en el campo de la inteligencia artificial (IA)","13 Participaría en un club relacionado con la inteligencia artificial (IA) si lo hubiera","14 Me gusta utilizar objetos relacionados con la inteligencia artificial (IA)","15 Es divertido aprender sobre la inteligencia artificial (IA)","
16 Quiero seguir aprendiendo sobre la inteligencia artificial (IA)","17 Me interesa los programas de televisión o los videos en línea relacionados con la inteligencia artificial (IA)","18 Quiero hacer algo que haga la vida más humana más cómoda a través de la inteligencia artificial (IA)","
19 Me interesa el desarrollo de la inteligencia artificial (IA)","
20 Es interesante utilizar la inteligencia artificial (IA)","21 Creo que debería haber más horas de clase dedicadas a la inteligencia artificial (IA) en la escuela","22 Creo que puedo manejar bien la inteligencia artificial (IA)"
"2025/05/27 11:35:48 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Nuevo Ideal","4","3","3","3","3","3","2","2","4","3","3","3","4","3","4","4","3","2","4","3","3","4"
"2025/05/27 12:13:51 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/27 12:20:28 p.m. GMT-6","Sí, ir al cuestionario","Hombre","Gómez Palacio","5","5","5","5","5","5","5","5","5","5","3","3","3","5","5","5","5","5","5","5","5","4"
"2025/05/27 12:27:17 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/27 12:29:45 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Gómez Palacio","4","3","3","3","4","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"2025/05/27 12:30:15 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/27 12:30:33 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Gómez Palacio","3","3","3","3","2","1","1","1","1","2","1","1","2","1","3","2","1","1","1","1","1","1"
"2025/05/27 12:34:18 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Gómez Palacio","4","2","3","2","2","2","2","1","1","2","1","1","1","1","1","1","1","2","1","1","1","1"
"2025/05/27 12:42:27 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2025/05/27 12:46:20 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Gómez Palacio","5","5","5","5","4","3","2","3","3","3","4","1","1","3","3","3","2","5","4","4","4","1"
